episode_id,episode_type,state_role,step,pre_collapse_step,Gamma,delta_from_pre_Gamma,I,delta_from_pre_I,Gamma_minus_I,delta_from_pre_Gamma_minus_I,D_eq,delta_from_pre_D_eq,full_projected_accuracy,delta_from_pre_full_projected_accuracy,full_entropy_normalized,delta_from_pre_full_entropy_normalized,centered_logit_rms,delta_from_pre_centered_logit_rms
joint_001,joint,pre_collapse,7300,7300,7.094394573560763,0.0,72.12689019648249,0.0,-65.03249562292173,0.0,0.08504924461496613,0.0,1.0,0.0,0.015362179502373351,0.0,35.67533892785728,0.0
joint_001,joint,onset,7350,7300,-0.006779427561907081,-7.10117400112267,7.869722236172982,-64.25716796030952,-7.876501663734889,57.155993959186844,0.9640647042183496,0.8790154596033835,0.0,-1.0,0.9539459371823786,0.9385837576800052,0.7013318863304406,-34.97400704152684
joint_001,joint,test_trough,7350,7300,-0.006779427561907081,-7.10117400112267,7.869722236172982,-64.25716796030952,-7.876501663734889,57.155993959186844,0.9640647042183496,0.8790154596033835,0.0,-1.0,0.9539459371823786,0.9385837576800052,0.7013318863304406,-34.97400704152684
joint_001,joint,train_trough,7350,7300,-0.006779427561907081,-7.10117400112267,7.869722236172982,-64.25716796030952,-7.876501663734889,57.155993959186844,0.9640647042183496,0.8790154596033835,0.0,-1.0,0.9539459371823786,0.9385837576800052,0.7013318863304406,-34.97400704152684
joint_001,joint,train_recovery_start,7500,7300,6.687855276066628,-0.40653929749413464,98.5046614671912,26.377771270708706,-91.81680619112457,-26.78431056820284,0.29293933670689687,0.20789009209193074,1.0,0.0,0.03459156058946299,0.01922938108708964,38.223707146599416,2.5483682187421337
joint_001,joint,train_recovery_confirmed,7600,7300,7.176238909070776,0.08184433551001291,95.27067029743341,23.14378010095092,-88.09443138836264,-23.061935765440907,0.2769402881286674,0.19189104351370126,1.0,0.0,0.021927250666270097,0.006565071163896746,40.267705952903846,4.592367025046563
joint_001,joint,test_recovery_start,7700,7300,7.226790876466588,0.13239630290582483,92.93996147818618,20.813071281703685,-85.71317060171958,-20.680674978797853,0.2667757020322735,0.1817264574173074,1.0,0.0,0.018025361971417717,0.002663182469044366,40.161602070771124,4.486263142913842
joint_001,joint,test_recovery_confirmed,7800,7300,7.204305290605703,0.10991071704494004,91.25142238819583,19.124532191713342,-84.04711709759013,-19.014621474668402,0.25778632239612614,0.17273707778116001,1.0,0.0,0.015776133461068365,0.0004139539586950139,39.66734994738352,3.992011019526238
joint_001,joint,post_recovery,7850,7300,7.188569544377515,0.09417497081675208,90.57019867333801,18.44330847685552,-83.3816291289605,-18.34913350603877,0.2534034175902049,0.16835417297523878,1.0,0.0,0.014940998562108992,-0.0004211809402643596,39.389453312043834,3.7141143841865514
joint_002,joint,pre_collapse,8400,8400,7.162474279234431,0.0,81.7106936956663,0.0,-74.54821941643186,0.0,0.2156812283532108,0.0,1.0,0.0,0.009367595095064457,0.0,37.5384990100233,0.0
joint_002,joint,onset,8450,8400,0.40804692192735814,-6.7544273573070726,13.314295711565881,-68.39639798410042,-12.906248789638523,61.64197062679334,0.5974738856590673,0.38179265730585654,1.0,0.0,0.7114211463836988,0.7020535512886343,3.3493781171506396,-34.18912089287266
joint_002,joint,test_trough,8450,8400,0.40804692192735814,-6.7544273573070726,13.314295711565881,-68.39639798410042,-12.906248789638523,61.64197062679334,0.5974738856590673,0.38179265730585654,1.0,0.0,0.7114211463836988,0.7020535512886343,3.3493781171506396,-34.18912089287266
