step,parameter_tensor_count,parameter_element_count,updated_parameter_tensor_count,updated_parameter_element_count,gradient_l2_total,gradient_l2_decay_group,gradient_l2_no_decay_group,total_update_l2,data_update_l2,decay_update_l2,data_to_decay_ratio,data_decay_cosine,decay_group_total_update_l2,no_decay_group_total_update_l2,adam_first_moment_l2,adam_first_moment_l2_decay_group,adam_first_moment_l2_no_decay_group,adam_second_moment_mean,adam_second_moment_rms,adam_second_moment_max
20050,28,421729,28,421729,0.046308579488443254,0.0461923967209067,0.003278264695816274,0.00744532105113101,0.011149866723178019,0.008986172828594728,1.2407803562043946,-0.7467367532880776,0.007420739787513296,0.000604505219523949,0.015824115276188627,0.015666305111223244,0.0022292394299775623,0.0002181818873878643,0.007117958689139529,0.955488920211792
20100,28,421729,28,421729,75.69445640186706,75.64733340429106,2.670520322742773,0.2782956925901303,0.27809800811618773,0.00897080930937592,31.000325447285025,0.005915383979458796,0.27775406734261676,0.017354267165554174,7.1539895062249785,7.149411323399882,0.25589760455827526,0.0002212057253706579,0.0072111847616172925,0.9335533976554871
20150,28,421729,28,421729,1.1061043845976553,1.1052055543890862,0.04458242000688734,0.09020759724047578,0.091302073970556,0.010520513308117561,8.678480915955678,-0.1610228637763253,0.09001976819210811,0.005818241533231053,0.8846487086675658,0.8837514625364343,0.039833280205187734,0.00144723230126634,0.04549240031496586,7.292176723480225
20200,28,421729,28,421729,34.667886289335314,34.488474306005344,3.522425274479547,0.17058840561161495,0.1715029417526711,0.01068607000113539,16.049206278308958,-0.11650809029103965,0.17007555182792494,0.013217821285660954,2.311977789274848,2.302425254511948,0.20995057867461378,0.001386766323392916,0.04344856304632858,7.032166481018066
20250,28,421729,28,421729,26.395233796492878,26.322070321981688,1.963919839548142,0.126795361352315,0.12891067046147195,0.011035309439418172,11.681654345006628,-0.23291498979263583,0.12641272857922445,0.00984305407988111,2.1259046398785757,2.1203169978361176,0.15403365393475485,0.0013331390755347006,0.0415724553885637,6.804776191711426
20300,28,421729,28,421729,2.00678860640184,2.004013466236697,0.1055013645704114,0.0590623576206377,0.06087084122244533,0.010933457167352837,5.567391932005266,-0.25275971662279756,0.05893539381932753,0.003870586915297285,0.6830114942974701,0.6816806441316396,0.042616906958808376,0.0014522669744519762,0.04496326090868022,6.840038776397705
20350,28,421729,28,421729,0.3851682589033546,0.3842838461151353,0.026086649489740175,0.0412898089076109,0.043889614770394984,0.011063243820182709,3.9671560605332616,-0.3540697957416111,0.0412196767748089,0.0024055282595105616,0.3636655836520363,0.3626033462066982,0.02777534973104014,0.001381521917321495,0.042770564171341265,6.5063652992248535
20400,28,421729,28,421729,0.21919448750096188,0.21849133284505282,0.01754311324713184,0.030854992601334397,0.033377175652664036,0.011142563673853174,2.9954664500581654,-0.38472222449970794,0.030806991839742538,0.0017204133847529756,0.2337262110470445,0.23295372655485622,0.018986916932794966,0.0013141214104350003,0.040683680274567216,6.18889856338501
20450,28,421729,28,421729,0.14446615012768815,0.14398287429297563,0.011806796476983562,0.02315983731701631,0.025270217008914832,0.011151153617276978,2.2661527117483664,-0.4019879421540126,0.023128273572740717,0.0012087291239663484,0.15296383286783125,0.15244775230818733,0.012554560199360921,0.0012500039062249392,0.03869858708904958,5.886918544769287
20500,28,421729,28,421729,0.09700351688168411,0.09663023914252104,0.008501715748857299,0.018554579468993224,0.02013658775233262,0.011102960495001032,1.8136232909590975,-0.412579379537007,0.018530372964771346,0.0009474687634197124,0.1026013470531145,0.10220960912270503,0.008957244001225946,0.0011890128945630507,0.03681034120517481,5.599671363830566
20550,28,421729,28,421729,0.07259332784731597,0.07229361776580916,0.006589694854770033,0.016135840503185603,0.01723361343900979,0.011019002102057772,1.5639903939932505,-0.41614745200111947,0.01611526019026039,0.0008147010153755133,0.07600248626522702,0.07569008353852302,0.006883979403471924,0.0011309971255136077,0.03501422677290385,5.326442241668701
20600,28,421729,28,421729,0.05865773895150101,0.05840416981250945,0.005448237092307888,0.014483728257077067,0.015244769438584285,0.010915084384773802,1.396669865406653,-0.4259778516690418,0.014465253926247302,0.0007313091507971707,0.06014383171304743,0.05988227113688184,0.005603043513693066,0.0010758118957133415,0.0333057518241388,5.066545009613037
20650,28,421729,28,421729,0.04957842934089566,0.04935567442173693,0.004694471033640114,0.013619495133287328,0.014200664758075162,0.010801279905277957,1.3147205592863234,-0.43301356759398246,0.013602163133273629,0.0006868811989339495,0.05044343815754964,0.05021534812983983,0.004791582760792694,0.0010233192203468406,0.031680638927566396,4.819329738616943
20700,28,421729,28,421729,0.04310151960079266,0.04290177671379166,0.004144701038371487,0.013265375982228385,0.013789841728778309,0.010684433423800406,1.2906479156920352,-0.4355557701870806,0.013247850814791271,0.0006816514790682905,0.04410335150985207,0.04389919035969129,0.004238714447230203,0.0009733877974844019,0.03013482127441315,4.584177494049072
20750,28,421729,28,421729,0.039506440280521214,0.039323282183479163,0.0037997765667022623,0.012891934587269267,0.013455173750299861,0.010568541295502838,1.2731344254694215,-0.44490998861322634,0.012874635209690594,0.0006676418349871123,0.039513698348915084,0.039328066422803634,0.003825643560579057,0.0009258926875004143,0.028664430204732378,4.360498428344727
20800,28,421729,28,421729,0.03573416017829309,0.035567132181078265,0.0034509871140898235,0.012658308072990863,0.013312359804972512,0.010456043705233566,1.2731736955450246,-0.45373525914957774,0.012640518223183845,0.0006708668423038584,0.036027828206893056,0.03585642513233774,0.0035101541325783477,0.000880715021760731,0.02726578619113349,4.147734642028809
