target_step,episode_id,episode_type,state_role,state_role_id,episode_status,resolution,replay_source_step,replay_updates,active_test_episode_ids,recovery_start,recovery_confirmed
12300,test_004,test,pre_collapse,test_004:pre_collapse,recovered,exact_checkpoint,,0,[],not_applicable,not_applicable
12350,joint_004,joint,onset,joint_004:onset,recovered,deterministic_replay,12300,50,[],not_applicable,not_applicable
12350,joint_004,joint,test_trough,joint_004:test_trough,recovered,deterministic_replay,12300,50,[],not_applicable,not_applicable
12350,joint_004,joint,train_trough,joint_004:train_trough,recovered,deterministic_replay,12300,50,[],not_applicable,not_applicable
12350,test_004,test,onset,test_004:onset,recovered,deterministic_replay,12300,50,[],not_applicable,not_applicable
12350,test_004,test,test_trough,test_004:test_trough,recovered,deterministic_replay,12300,50,[],not_applicable,not_applicable
12450,joint_004,joint,train_recovery_start,joint_004:train_recovery_start,recovered,deterministic_replay,12400,50,[],not_applicable,not_applicable
12550,joint_004,joint,test_recovery_start,joint_004:test_recovery_start,recovered,deterministic_replay,12500,50,[],not_applicable,not_applicable
12550,joint_004,joint,train_recovery_confirmed,joint_004:train_recovery_confirmed,recovered,deterministic_replay,12500,50,[],not_applicable,not_applicable
12550,test_004,test,test_recovery_start,test_004:test_recovery_start,recovered,deterministic_replay,12500,50,[],not_applicable,not_applicable
12650,joint_004,joint,test_recovery_confirmed,joint_004:test_recovery_confirmed,recovered,deterministic_replay,12600,50,[],not_applicable,not_applicable
12650,test_004,test,test_recovery_confirmed,test_004:test_recovery_confirmed,recovered,deterministic_replay,12600,50,[],not_applicable,not_applicable
12700,joint_004,joint,post_recovery,joint_004:post_recovery,recovered,exact_checkpoint,,0,[],not_applicable,not_applicable
12700,test_004,test,post_recovery,test_004:post_recovery,recovered,exact_checkpoint,,0,[],not_applicable,not_applicable
14200,joint_005,joint,pre_collapse,joint_005:pre_collapse,recovered,exact_checkpoint,,0,[],not_applicable,not_applicable
14200,test_005,test,pre_collapse,test_005:pre_collapse,recovered,exact_checkpoint,,0,[],not_applicable,not_applicable
14250,joint_005,joint,onset,joint_005:onset,recovered,deterministic_replay,14200,50,[],not_applicable,not_applicable
14250,joint_005,joint,test_trough,joint_005:test_trough,recovered,deterministic_replay,14200,50,[],not_applicable,not_applicable
14250,joint_005,joint,train_trough,joint_005:train_trough,recovered,deterministic_replay,14200,50,[],not_applicable,not_applicable
14250,test_005,test,onset,test_005:onset,recovered,deterministic_replay,14200,50,[],not_applicable,not_applicable
14250,test_005,test,test_trough,test_005:test_trough,recovered,deterministic_replay,14200,50,[],not_applicable,not_applicable
14400,joint_005,joint,train_recovery_start,joint_005:train_recovery_start,recovered,exact_checkpoint,,0,[],not_applicable,not_applicable
14500,joint_005,joint,train_recovery_confirmed,joint_005:train_recovery_confirmed,recovered,exact_checkpoint,,0,[],not_applicable,not_applicable
14650,joint_005,joint,test_recovery_start,joint_005:test_recovery_start,recovered,deterministic_replay,14600,50,[],not_applicable,not_applicable
14650,test_005,test,test_recovery_start,test_005:test_recovery_start,recovered,deterministic_replay,14600,50,[],not_applicable,not_applicable
14750,joint_005,joint,test_recovery_confirmed,joint_005:test_recovery_confirmed,recovered,deterministic_replay,14700,50,[],not_applicable,not_applicable
14750,test_005,test,test_recovery_confirmed,test_005:test_recovery_confirmed,recovered,deterministic_replay,14700,50,[],not_applicable,not_applicable
14800,joint_005,joint,post_recovery,joint_005:post_recovery,recovered,exact_checkpoint,,0,[],not_applicable,not_applicable
14800,test_005,test,post_recovery,test_005:post_recovery,recovered,exact_checkpoint,,0,[],not_applicable,not_applicable
15300,joint_006,joint,pre_collapse,joint_006:pre_collapse,recovered,exact_checkpoint,,0,[],not_applicable,not_applicable
15300,test_006,test,pre_collapse,test_006:pre_collapse,recovered,exact_checkpoint,,0,[],not_applicable,not_applicable
15350,joint_006,joint,onset,joint_006:onset,recovered,deterministic_replay,15300,50,[],not_applicable,not_applicable
15350,joint_006,joint,test_trough,joint_006:test_trough,recovered,deterministic_replay,15300,50,[],not_applicable,not_applicable
15350,joint_006,joint,train_trough,joint_006:train_trough,recovered,deterministic_replay,15300,50,[],not_applicable,not_applicable
15350,test_006,test,onset,test_006:onset,recovered,deterministic_replay,15300,50,[],not_applicable,not_applicable
15350,test_006,test,test_trough,test_006:test_trough,recovered,deterministic_replay,15300,50,[],not_applicable,not_applicable
15550,joint_006,joint,train_recovery_start,joint_006:train_recovery_start,recovered,deterministic_replay,15500,50,[],not_applicable,not_applicable
15650,joint_006,joint,test_recovery_start,joint_006:test_recovery_start,recovered,deterministic_replay,15600,50,[],not_applicable,not_applicable
15650,joint_006,joint,train_recovery_confirmed,joint_006:train_recovery_confirmed,recovered,deterministic_replay,15600,50,[],not_applicable,not_applicable
15650,test_006,test,test_recovery_start,test_006:test_recovery_start,recovered,deterministic_replay,15600,50,[],not_applicable,not_applicable
15750,joint_006,joint,test_recovery_confirmed,joint_006:test_recovery_confirmed,recovered,deterministic_replay,15700,50,[],not_applicable,not_applicable
15750,test_006,test,test_recovery_confirmed,test_006:test_recovery_confirmed,recovered,deterministic_replay,15700,50,[],not_applicable,not_applicable
15800,joint_006,joint,post_recovery,joint_006:post_recovery,recovered,exact_checkpoint,,0,[],not_applicable,not_applicable
15800,test_006,test,post_recovery,test_006:post_recovery,recovered,exact_checkpoint,,0,[],not_applicable,not_applicable
17450,joint_007,joint,pre_collapse,joint_007:pre_collapse,recovered,deterministic_replay,17400,50,[],not_applicable,not_applicable
17450,test_007,test,pre_collapse,test_007:pre_collapse,recovered,deterministic_replay,17400,50,[],not_applicable,not_applicable
17500,joint_007,joint,onset,joint_007:onset,recovered,exact_checkpoint,,0,[],not_applicable,not_applicable
17500,joint_007,joint,test_trough,joint_007:test_trough,recovered,exact_checkpoint,,0,[],not_applicable,not_applicable
17500,joint_007,joint,train_trough,joint_007:train_trough,recovered,exact_checkpoint,,0,[],not_applicable,not_applicable
17500,test_007,test,onset,test_007:onset,recovered,exact_checkpoint,,0,[],not_applicable,not_applicable
17500,test_007,test,test_trough,test_007:test_trough,recovered,exact_checkpoint,,0,[],not_applicable,not_applicable
17700,joint_007,joint,train_recovery_start,joint_007:train_recovery_start,recovered,exact_checkpoint,,0,[],not_applicable,not_applicable
17800,joint_007,joint,train_recovery_confirmed,joint_007:train_recovery_confirmed,recovered,exact_checkpoint,,0,[],not_applicable,not_applicable
18150,joint_007,joint,test_recovery_start,joint_007:test_recovery_start,recovered,deterministic_replay,18100,50,[],not_applicable,not_applicable
18150,test_007,test,test_recovery_start,test_007:test_recovery_start,recovered,deterministic_replay,18100,50,[],not_applicable,not_applicable
18250,joint_007,joint,test_recovery_confirmed,joint_007:test_recovery_confirmed,recovered,deterministic_replay,18200,50,[],not_applicable,not_applicable
18250,test_007,test,test_recovery_confirmed,test_007:test_recovery_confirmed,recovered,deterministic_replay,18200,50,[],not_applicable,not_applicable
18300,joint_007,joint,post_recovery,joint_007:post_recovery,recovered,exact_checkpoint,,0,[],not_applicable,not_applicable
18300,joint_008,joint,pre_collapse,joint_008:pre_collapse,recovered,exact_checkpoint,,0,[],not_applicable,not_applicable
